# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.initialize.library.bridges.after.loading.ms,1692778003483000000,1692778022948000000,0
jps.project.serializers.save.ms,1692778003483000000,1692778022948000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1692778003483000000,1692778022948000000,14189
jps.apply.loaded.storage.ms,1692778003483000000,1692778022948000000,2397
jps.save.changed.project.entities.ms,1692778003483000000,1692778022948000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1692778003483000000,1692778022948000000,282
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1692778003483000000,1692778022948000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1692778003483000000,1692778022948000000,0
workspaceModel.sync.entities.ms,1692778003483000000,1692778022948000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1692778003483000000,1692778022948000000,885
workspaceModel.mutableEntityStorage.entities.ms,1692778003483000000,1692778022948000000,7
jps.reload.project.entities.ms,1692778003483000000,1692778022948000000,0
jps.load.project.to.empty.storage.ms,1692778003483000000,1692778022948000000,5530
jps.load.initial.state.ms,1692778003483000000,1692778022948000000,4
jps.artifact.entities.serializer.save.entities.ms,1692778003483000000,1692778022948000000,0
AWTEventQueue.dispatchTimeTotalNS,1692778003483000000,1692778022948000000,8174185988
FlushQueue.queueSize90P,1692778003483000000,1692778022948000000,0
NonBlockingReadAction.failedExecutionsCount,1692778003483000000,1692778022948000000,5
AWTEventQueue.dispatchTimeAvgNs,1692778003483000000,1692778022948000000,0.0
FlushQueue.waitingTimeAvgNs,1692778003483000000,1692778022948000000,0.0
FlushQueue.executionTimeMaxNs,1692778003483000000,1692778022948000000,0
FlushQueue.executionTimeAvgNs,1692778003483000000,1692778022948000000,0.0
FlushQueue.executionTime90PNs,1692778003483000000,1692778022948000000,0
NonBlockingReadAction.failedExecutionTimeUs,1692778003483000000,1692778022948000000,1313466
FlushQueue.tasksExecuted,1692778003483000000,1692778022948000000,0
AWTEventQueue.dispatchTimeMaxNs,1692778003483000000,1692778022948000000,0
AWTEventQueue.dispatchTime90PNs,1692778003483000000,1692778022948000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1692778003483000000,1692778022948000000,724051
ReadAction.executionsCount,1692778003483000000,1692778022948000000,310984
AWTEventQueue.eventsDispatched,1692778003483000000,1692778022948000000,0
NonBlockingReadAction.finalizedExecutionsCount,1692778003483000000,1692778022948000000,31
FlushQueue.waitingTime90PNs,1692778003483000000,1692778022948000000,0
